date,max_supply,total_supply,the_open_network_foundation,frozen,issued_supply,backers,the_locker,dns_locked,telegram,inactive_early_wallet,mining_smart_contracts,circulating_supply_first_principles,circulating_supply_api
2019-12-31,5003415001,5003415001,0,0,64539584.8,0,0,0,0,0,4938875416,64539584.8,64539584.8
2020-01-01,5003481755,5003481755,0,0,64606338.95,0,0,0,0,0,4938875416,64606338.95,64606338.95
2020-01-02,5003550648,5003550648,0,0,64675231.65,0,0,0,0,0,4938875416,64675231.65,64675231.65
2020-01-03,5003623209,5003623209,0,0,64747879.9,0,0,0,0,0,4938875329,64747879.9,64747879.9
2020-01-04,5003692989,5003692989,0,0,64817659.95,0,0,0,0,0,4938875329,64817659.95,64817659.95
2020-01-05,5003763168,5003763168,0,0,64887838.45,0,0,0,0,0,4938875329,64887838.45,64887838.45
2020-01-06,5003837838,5003837838,0,0,64962509,0,0,0,0,0,4938875329,64962509,64962509
2020-01-07,5003907890,5003907890,0,0,65032560.95,0,0,0,0,0,4938875329,65032560.95,65032560.95
2020-01-08,5003976775,5003976775,0,0,65101445.45,0,0,0,0,0,4938875329,65101445.45,65101445.45
2020-01-09,5004049229,5004049229,0,0,65173900.1,0,0,0,0,0,4938875329,65173900.1,65173900.1
2020-01-10,5004121801,5004121801,0,0,65246471.45,0,0,0,0,0,4938875329,65246471.45,65246471.45
2020-01-11,5004194242,5004194242,0,0,65318912.25,0,0,0,0,0,4938875329,65318912.25,65318912.25
2020-01-12,5004266323,5004266323,0,0,65390993.85,0,0,0,0,0,4938875329,65390993.85,65390993.85
2020-01-13,5004337672,5004337672,0,0,65462342.65,0,0,0,0,0,4938875329,65462342.65,65462342.65
2020-01-14,5004409326,5004409326,0,0,65533996.6,0,0,0,0,0,4938875329,65533996.6,65533996.6
2020-01-15,5004481529,5004481529,0,0,65606199.65,0,0,0,0,0,4938875329,65606199.65,65606199.65
2020-01-16,5004553615,5004553615,0,0,65678286.15,0,0,0,0,0,4938875329,65678286.15,65678286.15
2020-01-17,5004626138,5004626138,0,0,65750808.35,0,0,0,0,0,4938875329,65750808.35,65750808.35
2020-01-18,5004698049,5004698049,0,0,65822719.45,0,0,0,0,0,4938875330,65822719.45,65822719.45
2020-01-19,5004769529,5004769529,0,0,65894199,0,0,0,0,0,4938875330,65894199,65894199
2020-01-20,5004840074,5004840074,0,0,65964743.8,0,0,0,0,0,4938875330,65964743.8,65964743.8
2020-01-21,5004910655,5004910655,0,0,66035324.99,0,0,0,0,0,4938875330,66035324.99,66035324.99
2020-01-22,5004979879,5004979879,0,0,66104549.14,0,0,0,0,0,4938875330,66104549.14,66104549.14
2020-01-23,5005054413,5005054413,0,0,66179082.69,0,0,0,0,0,4938875330,66179082.69,66179082.69
2020-01-24,5005129772,5005129772,0,0,66254424.29,0,0,0,0,0,4938875348,66254424.29,66254424.29
2020-01-25,5005205419,5005205419,0,0,66330071.34,0,0,0,0,0,4938875348,66330071.34,66330071.34
2020-01-26,5005281065,5005281065,0,0,66405717.14,0,0,0,0,0,4938875348,66405717.14,66405717.14
2020-01-27,5005356160,5005356160,0,0,66480811.59,0,0,0,0,0,4938875348,66480811.59,66480811.59
2020-01-28,5005431951,5005431951,0,0,66556603.19,0,0,0,0,0,4938875348,66556603.19,66556603.19
2020-01-29,5005504742,5005504742,0,0,66629394.24,0,0,0,0,0,4938875348,66629394.24,66629394.24
2020-01-30,5005578180,5005578180,0,0,66702832.34,0,0,0,0,0,4938875348,66702832.34,66702832.34
2020-01-31,5005651183,5005651183,0,0,66775935.14,0,0,0,0,0,4938875248,66775935.14,66775935.14
2020-02-01,5005724947,5005724947,0,0,66849698.64,0,0,0,0,0,4938875248,66849698.64,66849698.64
2020-02-02,5005798891,5005798891,0,0,66923643.04,0,0,0,0,0,4938875248,66923643.04,66923643.04
2020-02-03,5005852921,5005852921,0,0,66977455.99,0,0,0,0,0,4938875465,66977455.99,66977455.99
2020-02-04,5005912352,5005912352,0,0,67036886.89,0,0,0,0,0,4938875465,67036886.89,67036886.89
2020-02-05,5005984202,5005984202,0,0,67108737.19,0,0,0,0,0,4938875465,67108737.19,67108737.19
2020-02-06,5006057620,5006057620,0,0,67182155.49,0,0,0,0,0,4938875465,67182155.49,67182155.49
2020-02-07,5006127486,5006127486,0,0,67252020.49,0,0,0,0,0,4938875466,67252020.49,67252020.49
2020-02-08,5006195781,5006195781,0,0,67320314.09,0,0,0,0,0,4938875467,67320314.09,67320314.09
2020-02-09,5006263386,5006263386,0,0,67387919.54,0,0,0,0,0,4938875467,67387919.54,67387919.54
2020-02-10,5006333275,5006333275,0,0,67457908.04,0,0,0,0,0,4938875367,67457908.04,67457908.04
2020-02-11,5006400977,5006400977,0,0,67525610.29,0,0,0,0,0,4938875367,67525610.29,67525610.29
2020-02-12,5006474085,5006474085,0,0,67598818.29,0,0,0,0,0,4938875267,67598818.29,67598818.29
2020-02-13,5006544395,5006544395,0,0,67669127.94,0,0,0,0,0,4938875267,67669127.94,67669127.94
2020-02-14,5006613688,5006613688,0,0,67738420.74,0,0,0,0,0,4938875267,67738420.74,67738420.74
2020-02-15,5006684260,5006684260,0,0,67808993.34,0,0,0,0,0,4938875267,67808993.34,67808993.34
2020-02-16,5006753081,5006753081,0,0,67887791.69,0,0,0,0,0,4938865289,67887791.69,67887791.69
2020-02-17,5006816640,5006816640,0,0,67951351.34,0,0,0,0,0,4938865289,67951351.34,67951351.34
2020-02-18,5006876838,5006876838,0,0,68011549.04,0,0,0,0,0,4938865289,68011549.04,68011549.04
2020-02-19,5006933947,5006933947,0,0,68068657.94,0,0,0,0,0,4938865289,68068657.94,68068657.94
2020-02-20,5006990360,5006990360,0,0,68125073.89,0,0,0,0,0,4938865286,68125073.89,68125073.89
2020-02-21,5007052131,5007052131,0,0,68186814.79,0,0,0,0,0,4938865316,68186814.79,68186814.79
2020-02-22,5007112909,5007112909,0,0,68247593.51,0,0,0,0,0,4938865316,68247593.51,68247593.51
2020-02-23,5007173636,5007173636,0,0,68308320.56,0,0,0,0,0,4938865316,68308320.56,68308320.56
2020-02-24,5007233437,5007233437,0,0,68368121.71,0,0,0,0,0,4938865316,68368121.71,68368121.71
2020-02-25,5007295877,5007295877,0,0,68430561.06,0,0,0,0,0,4938865316,68430561.06,68430561.06
2020-02-26,5007360414,5007360414,0,0,68495097.86,0,0,0,0,0,4938865316,68495097.86,68495097.86
2020-02-27,5007423185,5007423185,0,0,68532878.59,0,0,0,0,0,4938890307,68532878.59,68532878.59
2020-02-28,5007480036,5007480036,0,0,68589729.14,0,0,0,0,0,4938890307,68589729.14,68589729.14
