date,private_sale,burn_address,whitebit_launchpad,whitebit_funds
2022-08-05,0,25000000,1000000,120000000
2022-09-05,0,0,0,0
2022-10-05,0,0,0,0
2022-11-13,10800000,0,0,0
2022-12-13,10800000,0,0,0
2023-01-13,10800000,0,0,0
2023-02-13,10800000,0,0,0
2023-03-13,10800000,0,0,0
2023-11-13,0,0,0,39500000
2024-07-13,0,0,0,39500000
2025-05-13,0,0,0,39500000
2026-03-13,0,0,0,81500000
