date,premine_unlocks_native,circulating_supply_native
2021-09-06,"1,367,989.06","175,102,599.18"
2021-09-07,"1,367,989.06","176,470,588.24"
2021-09-08,"1,367,989.06","177,838,577.29"
2021-09-09,"1,367,989.06","179,206,566.35"
2021-09-10,"1,367,989.06","180,574,555.40"
2021-09-11,"1,367,989.06","181,942,544.46"
2021-09-12,"1,367,989.06","183,310,533.52"
2021-09-13,"1,367,989.06","184,678,522.57"
2021-09-14,"1,367,989.06","186,046,511.63"
2021-09-15,"1,367,989.06","187,414,500.68"
2021-09-16,"1,367,989.06","188,782,489.74"
2021-09-17,"1,367,989.06","190,150,478.80"
2021-09-18,"1,367,989.06","191,518,467.85"
2021-09-19,"1,367,989.06","192,886,456.91"
2021-09-20,"1,367,989.06","194,254,445.96"
2021-09-21,"1,367,989.06","195,622,435.02"
2021-09-22,"1,367,989.06","196,990,424.08"
2021-09-23,"1,367,989.06","198,358,413.13"
2021-09-24,"1,367,989.06","199,726,402.19"
2021-09-25,"1,367,989.06","201,094,391.24"
2021-09-26,"1,367,989.06","202,462,380.30"
2021-09-27,"1,367,989.06","203,830,369.36"
2021-09-28,"1,367,989.06","205,198,358.41"
2021-09-29,"1,367,989.06","206,566,347.47"
2021-09-30,"1,367,989.06","207,934,336.53"
2021-10-01,"1,367,989.06","209,302,325.58"
2021-10-02,"1,367,989.06","210,670,314.64"
2021-10-03,"1,367,989.06","212,038,303.69"
2021-10-04,"1,367,989.06","213,406,292.75"
2021-10-05,"1,367,989.06","214,774,281.81"
2021-10-06,"1,367,989.06","216,142,270.86"
2021-10-07,"1,367,989.06","217,510,259.92"
2021-10-08,"1,367,989.06","218,878,248.97"
2021-10-09,"1,367,989.06","220,246,238.03"
2021-10-10,"1,367,989.06","221,614,227.09"
2021-10-11,"1,367,989.06","222,982,216.14"
2021-10-12,"1,367,989.06","224,350,205.20"
2021-10-13,"1,367,989.06","225,718,194.25"
2021-10-14,"1,367,989.06","227,086,183.31"
2021-10-15,"1,367,989.06","228,454,172.37"
2021-10-16,"1,367,989.06","229,822,161.42"
2021-10-17,"1,367,989.06","231,190,150.48"
2021-10-18,"1,367,989.06","232,558,139.53"
2021-10-19,"1,367,989.06","233,926,128.59"
2021-10-20,"1,367,989.06","235,294,117.65"
2021-10-21,"1,367,989.06","236,662,106.70"
2021-10-22,"1,367,989.06","238,030,095.76"
2021-10-23,"1,367,989.06","239,398,084.82"
2021-10-24,"1,367,989.06","240,766,073.87"
2021-10-25,"1,367,989.06","242,134,062.93"
2021-10-26,"1,367,989.06","243,502,051.98"
2021-10-27,"1,367,989.06","244,870,041.04"
2021-10-28,"1,367,989.06","246,238,030.10"
2021-10-29,"1,367,989.06","247,606,019.15"
2021-10-30,"1,367,989.06","248,974,008.21"
2021-10-31,"1,367,989.06","250,341,997.26"
2021-11-01,"1,367,989.06","251,709,986.32"
2021-11-02,"1,367,989.06","253,077,975.38"
2021-11-03,"1,367,989.06","254,445,964.43"
2021-11-04,"1,367,989.06","255,813,953.49"
2021-11-05,"1,367,989.06","257,181,942.54"
2021-11-06,"1,367,989.06","258,549,931.60"
2021-11-07,"1,367,989.06","259,917,920.66"
2021-11-08,"1,367,989.06","261,285,909.71"
2021-11-09,"1,367,989.06","262,653,898.77"
2021-11-10,"1,367,989.06","264,021,887.82"
2021-11-11,"1,367,989.06","265,389,876.88"
2021-11-12,"1,367,989.06","266,757,865.94"
2021-11-13,"1,367,989.06","268,125,854.99"
2021-11-14,"1,367,989.06","269,493,844.05"
2021-11-15,"1,367,989.06","270,861,833.11"
2021-11-16,"1,367,989.06","272,229,822.16"
2021-11-17,"1,367,989.06","273,597,811.22"
2021-11-18,"1,367,989.06","274,965,800.27"
2021-11-19,"1,367,989.06","276,333,789.33"
2021-11-20,"1,367,989.06","277,701,778.39"
2021-11-21,"1,367,989.06","279,069,767.44"
2021-11-22,"1,367,989.06","280,437,756.50"
2021-11-23,"1,367,989.06","281,805,745.55"
2021-11-24,"1,367,989.06","283,173,734.61"
2021-11-25,"1,367,989.06","284,541,723.67"
2021-11-26,"1,367,989.06","285,909,712.72"
2021-11-27,"1,367,989.06","287,277,701.78"
2021-11-28,"1,367,989.06","288,645,690.83"
2021-11-29,"1,367,989.06","290,013,679.89"
2021-11-30,"1,367,989.06","291,381,668.95"
2021-12-01,"1,367,989.06","292,749,658.00"
2021-12-02,"1,367,989.06","294,117,647.06"
2021-12-03,"1,367,989.06","295,485,636.11"
2021-12-04,"1,367,989.06","296,853,625.17"
2021-12-05,"1,367,989.06","298,221,614.23"
2021-12-06,"1,367,989.06","299,589,603.28"
2021-12-07,"1,367,989.06","300,957,592.34"
2021-12-08,"1,367,989.06","302,325,581.40"
2021-12-09,"1,367,989.06","303,693,570.45"
2021-12-10,"1,367,989.06","305,061,559.51"
2021-12-11,"1,367,989.06","306,429,548.56"
2021-12-12,"1,367,989.06","307,797,537.62"
2021-12-13,"1,367,989.06","309,165,526.68"
2021-12-14,"1,367,989.06","310,533,515.73"
2021-12-15,"1,367,989.06","311,901,504.79"
2021-12-16,"1,367,989.06","313,269,493.84"
2021-12-17,"1,367,989.06","314,637,482.90"
2021-12-18,"1,367,989.06","316,005,471.96"
2021-12-19,"1,367,989.06","317,373,461.01"
2021-12-20,"1,367,989.06","318,741,450.07"
2021-12-21,"1,367,989.06","320,109,439.12"
2021-12-22,"1,367,989.06","321,477,428.18"
2021-12-23,"1,367,989.06","322,845,417.24"
2021-12-24,"1,367,989.06","324,213,406.29"
2021-12-25,"1,367,989.06","325,581,395.35"
2021-12-26,"1,367,989.06","326,949,384.40"
2021-12-27,"1,367,989.06","328,317,373.46"
2021-12-28,"1,367,989.06","329,685,362.52"
2021-12-29,"1,367,989.06","331,053,351.57"
2021-12-30,"1,367,989.06","332,421,340.63"
2021-12-31,"1,367,989.06","333,789,329.69"
2022-01-01,"1,367,989.06","335,157,318.74"
2022-01-02,"1,367,989.06","336,525,307.80"
2022-01-03,"1,367,989.06","337,893,296.85"
2022-01-04,"1,367,989.06","339,261,285.91"
2022-01-05,"1,367,989.06","340,629,274.97"
2022-01-06,"1,367,989.06","341,997,264.02"
2022-01-07,"1,367,989.06","343,365,253.08"
2022-01-08,"1,367,989.06","344,733,242.13"
2022-01-09,"1,367,989.06","346,101,231.19"
2022-01-10,"1,367,989.06","347,469,220.25"
2022-01-11,"1,367,989.06","348,837,209.30"
2022-01-12,"1,367,989.06","350,205,198.36"
2022-01-13,"1,367,989.06","351,573,187.41"
2022-01-14,"1,367,989.06","352,941,176.47"
2022-01-15,"1,367,989.06","354,309,165.53"
2022-01-16,"1,367,989.06","355,677,154.58"
2022-01-17,"1,367,989.06","357,045,143.64"
2022-01-18,"1,367,989.06","358,413,132.69"
2022-01-19,"1,367,989.06","359,781,121.75"
2022-01-20,"1,367,989.06","361,149,110.81"
2022-01-21,"1,367,989.06","362,517,099.86"
