database
AAVE
ACALA
ACROSS
AKASH
APTOS
APTOS_FLIPSIDE
ARBITRUM
ARBITRUM_FLIPSIDE
AVALANCHE
AVALANCHE_FLIPSIDE
AXELAR_FLIPSIDE
BASE
BASE_FLIPSIDE
BEAM
BEDROCK
BITCOIN
BITCOIN_FLIPSIDE
BLAST
BLAST_FLIPSIDE
BSC
BSC_FLIPSIDE
BUSD
CARDANO
CCTP
CELESTIA
CELO
CHAINLINK
COMMON
COMPOUND
COSMOSHUB
CUSD
DAI
DEXALOT
DFK
EIGENPIE
ETHEREUM
ETHEREUM_FLIPSIDE
ETHERFI
EURC
FANTOM
FLOW
FLOW_FLIPSIDE
GEODNET
GNOSIS_FLIPSIDE
HELIUM
IMMUTABLE_X
INTERNET_COMPUTER
INJECTIVE
JUPITER
KAICHING
KELP_DAO
LANDING_DATABASE
MAKER
NEAR
NEAR_FLIPSIDE
OPTIMISM
OPTIMISM_FLIPSIDE
OSMOSIS
OSMOSIS_FLIPSIDE
PC_DBT_DB
POLKADOT
POLYGON
POLYGON_FLIPSIDE
POLYGON_ZK
PUFFER_FINANCE
PYUSD
RAINBOW_BRIDGE
RENZO_PROTOCOL
SEI
SEI_FLIPSIDE
SIGMA
SOLANA
SOLANA_FLIPSIDE
STACKS
STARKNET
STRIDE
SWELL
SUI
TON
TRON
UNISWAP
USDC
USDE
USDT
ZKSYNC
