date,pre_mine_unlocks
2020-09-25,2800000
2020-10-25,12471176
2020-11-25,0
2020-12-25,0
2021-01-25,0
2021-02-25,0
2021-03-25,0
2021-04-25,7471175
2021-05-25,0
2021-06-25,0
2021-07-25,0
2021-08-25,0
2021-09-25,28255394
2021-10-25,0
2021-11-25,0
2021-12-25,0
2022-01-25,0
2022-02-25,0
2022-03-25,20098873
2022-04-25,0
2022-05-25,0
2022-06-25,0
2022-07-25,0
2022-08-25,0
2022-09-25,20098872
2022-10-25,0
2022-11-25,0
2022-12-25,0
2023-01-25,0
2023-02-25,0
2023-03-25,8804510
