chain_agnostic_id,chain
eip155:1,ethereum
eip155:42161,arbitrum
eip155:10,optimism
eip155:137,polygon
eip155:43114,avalanche
eip155:56,bsc
eip155:8453,base
eip155:42220,celo
eip155:5000,mantle
bip122:00000000000000001ebf88508a03865c,tron
tvm:-239,ton
solana:5eykt4usfv8p8njdtrepy1vzqkqzkvdp,solana
sui:mainnet,sui
eip155:1329,sei
stellar:pubnet,stellar
cosmos:injective-888,injective
near:mainnet,near
