CIK,ADSH,COMPANY_NAME,URL,REPORTING_DATE
0001679788,000167978824000187,"COINBASE GLOBAL, INC.",https://www.sec.gov/Archives/edgar/data/1679788/000167978824000187/coin-20240930.htm,2024-09-30
0001679788,000167978824000149,"COINBASE GLOBAL, INC.",https://www.sec.gov/Archives/edgar/data/1679788/000167978824000149/coin-20240630.htm,2024-06-30
0001679788,000167978824000089,"COINBASE GLOBAL, INC.",https://www.sec.gov/Archives/edgar/data/1679788/000167978824000089/coin-20240331.htm,2024-03-31
0001783879,000178387924000296,"ROBINHOOD MARKETS, INC.",https://www.sec.gov/Archives/edgar/data/1783879/000178387924000296/hood-20240930.htm,2024-09-30
0001783879,000178387924000233,"ROBINHOOD MARKETS, INC.",https://www.sec.gov/Archives/edgar/data/1783879/000178387924000233/hood-20240630.htm,2024-06-30
0001783879,000178387924000145,"ROBINHOOD MARKETS, INC.",https://www.sec.gov/Archives/edgar/data/1783879/000178387924000145/hood-20240331.htm,2024-03-31
