ticker,most_recent_shares_outstanding,most_recent_cash,most_recent_net_debt,revenue_2023,revenue_2024,revenue_2025,revenue_2026,gross_margin_2024,operating_margin_2024,ebitda_margin_2024,gross_profit_2024,operating_income_2024,ebitda_2024
TDOC,175434773.1,1193300000,992300000,2602400000,2569600000,2515100000,2549300000,0.708,-0.08,0.01,1818300000,-208800000,31700000
HIMS,223831521.9,322700000,0,872000000,1476500000,2344800000,2819100000,0.795,0.04,0.06,1173100000,66000000,83100000
ZTS,445208053,1741000000,5248000000,8544000000,9256000000,9481300000,10060100000,0.706,0.37,0.41,6538000000,3393000000,3829000000
MRK,2511031253,9228000000,33484000000,60115000000,64168000000,65035300000,68585600000,0.771,0.39,0.45,49470000000,24889000000,29134000000
IDXX,80421917,164000000,449800000,3661000000,3897500000,4136100000,4454000000,0.61,0.31,0.34,2378900000,1189800000,1319800000
ELAN,496646503.7,487000000,4351000000,4417000000,4439000000,4533700000,4743800000,0.549,0.06,0.2,2436000000,257000000,879000000
VIRP,9502546.25,159300000,225400000,1378200000,1446700000,1682600000,1769000000,0.674,0.16,0.19,974500000,237100000,284100000
VETO,13384401.47,213600000,200000,585000000,558200000,627700000,649100000,0.555,0.14,0.18,309800000,79300000,102400000
PAHC,40533608.11,75100000,711200000,982000000,1106100000,1343800000,1424000000,0.32,0.09,0.12,354000000,95700000,133200000
PETQ,,84100000,436000000,1102000000,,,,,,,,,
FRPT,48777091.07,243700000,395700000,766900000,975200000,1131400000,1350000000,0.406,0.04,0.12,396000000,38600000,112200000
CHWY,414982625,596700000,0,11147700000,11861300000,12378000000,13271200000,0.292,0.01,0.02,3467700000,112600000,189500000
CL,810420118,1311000000,6571000000,19457000000,20101000000,20270900000,21070400000,0.606,0.21,0.24,12181000000,4250000000,4855000000
GIS,547600534.1,521300000,11839600000,20200000000,19901300000,19085100000,18951000000,0.353,0.19,0.22,7018200000,3788500000,4344500000
SW,520544679,797000000,12378000000,12093000000,21109000000,31525700000,32397500000,0.199,0.07,0.13,4195000000,1378000000,2842000000
SJM,106416621,47200000,6385500000,8207800000,8788000000,8866600000,8989100000,0.397,0.19,0.25,3489300000,1707900000,2212000000
OLLI,61402919.96,428700000,0,2102700000,2271700000,2578900000,2878000000,0.403,0.11,0.13,914500000,249500000,293500000
CENTA,64871328.43,516700000,1190700000,3317000000,3222400000,3169700000,3229800000,0.303,0.08,0.1,976900000,242200000,332400000
WOOF,278987847.4,167000000,1578600000,6255300000,6116500000,6016200000,6105800000,0.38,0,0.04,2324400000,15800000,215600000
PETS,20627208.11,50100000,0,277000000,247000000,238100000,221300000,0.277,0.01,0.03,68400000,2400000,8200000
TRUP,42783674.93,321800000,127500000,1108600000,1285700000,1403200000,1487600000,0.206,0,0.01,265200000,-4000000,12400000
EHTH,30326646.34,155600000,0,452900000,532400000,531600000,567300000,0.997,0.06,0.07,530600000,33000000,35000000
PTON,398559584.5,914300000,1290900000,2730300000,2621100000,2428900000,2491600000,0.475,-0.05,-0.03,1243800000,-124600000,-66900000
HIMS,223831521.9,322700000,0,872000000,1476500000,2344800000,2819100000,0.795,0.04,0.06,1173100000,66000000,83100000
WRBY,121406314.1,265100000,0,669800000,771300000,875600000,998900000,0.553,-0.04,0.02,426800000,-28600000,17300000
BARK,174914852.7,115300000,0,494700000,490300000,520200000,575700000,0.622,-0.07,-0.05,304900000,-31900000,-24500000
BIRD,8057588.65,39100000,0,254100000,189800000,175800000,184600000,0.427,-0.5,-0.43,81100000,-94000000,-81600000
RENT,4021888.89,77400000,333700000,298200000,306200000,,,0.73,-0.14,0.05,223400000,-41600000,14900000
