name,market,symbol,link
USDC,Insurance Vault,USDC,https://app.drift.trade/earn/borrow-lend
PYUSD,Insurance Vault,PYUSD,https://app.drift.trade/earn/borrow-lend
USDe,Insurance Vault,USDe,https://app.drift.trade/earn/borrow-lend
USDS,Insurance Vault,USDS,https://app.drift.trade/earn/borrow-lend
USDT,Insurance Vault,USDT,https://app.drift.trade/earn/borrow-lend
AUSD,Insurance Vault,AUSD,https://app.drift.trade/earn/borrow-lend
USDC-1,Insurance Vault JLP,USDC,https://app.drift.trade/earn/borrow-lend
