id,symbol,link
BgxfHJDzm44T7XG68MYKx7YisTjZu73tVovyZSjJMpmw,USDC,https://save.finance/
8K9WC8xoh2rtQNY7iEGXtPvfbDCi563SdWhCAhuMP2xE,USDT,https://save.finance/
HUL7GeHECRMbBFwde6pBmCPwDZjoLQDX7Xis4d64jAya,USDS,https://save.finance/
