date,team_supply,investors_supply,protocol_launch_supply,bonding_curve_supply,initial_emissions_program_supply,bonding_curve_dexs,community_supply,gross_emissions_native,premine_unlocks_native,net_change_supply_native,burns_native,circulating_supply_native
2022-05-15,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,035,857.66"
2022-05-16,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,055,109.49"
2022-05-17,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,074,361.31"
2022-05-18,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,093,613.14"
2022-05-19,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,112,864.96"
2022-05-20,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,132,116.79"
2022-05-21,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,151,368.61"
2022-05-22,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,170,620.44"
2022-05-23,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,189,872.26"
2022-05-24,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,209,124.09"
2022-05-25,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,228,375.91"
2022-05-26,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,247,627.74"
2022-05-27,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,266,879.56"
2022-05-28,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,286,131.39"
2022-05-29,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,305,383.21"
2022-05-30,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,324,635.04"
2022-05-31,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,343,886.86"
2022-06-01,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,363,138.69"
2022-06-02,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,382,390.51"
2022-06-03,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,401,642.34"
2022-06-04,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,420,894.16"
2022-06-05,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,440,145.99"
2022-06-06,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,459,397.81"
2022-06-07,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,478,649.64"
2022-06-08,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,497,901.46"
2022-06-09,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,517,153.28"
2022-06-10,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,536,405.11"
2022-06-11,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,555,656.93"
2022-06-12,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,574,908.76"
2022-06-13,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,594,160.58"
2022-06-14,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,613,412.41"
2022-06-15,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,632,664.23"
2022-06-16,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,651,916.06"
2022-06-17,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,671,167.88"
2022-06-18,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,690,419.71"
2022-06-19,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,709,671.53"
2022-06-20,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,728,923.36"
2022-06-21,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,748,175.18"
2022-06-22,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,767,427.01"
2022-06-23,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,786,678.83"
2022-06-24,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,805,930.66"
2022-06-25,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,825,182.48"
2022-06-26,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,844,434.31"
2022-06-27,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,863,686.13"
2022-06-28,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,882,937.96"
2022-06-29,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,902,189.78"
2022-06-30,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,921,441.61"
2022-07-01,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,940,693.43"
2022-07-02,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,959,945.26"
2022-07-03,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,979,197.08"
2022-07-04,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"480,998,448.91"
2022-07-05,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,017,700.73"
2022-07-06,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,036,952.55"
2022-07-07,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,056,204.38"
2022-07-08,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,075,456.20"
2022-07-09,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,094,708.03"
2022-07-10,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,113,959.85"
2022-07-11,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,133,211.68"
2022-07-12,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,152,463.50"
2022-07-13,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,171,715.33"
2022-07-14,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,190,967.15"
2022-07-15,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,210,218.98"
2022-07-16,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,229,470.80"
2022-07-17,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,248,722.63"
2022-07-18,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,267,974.45"
2022-07-19,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,287,226.28"
2022-07-20,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,306,478.10"
2022-07-21,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,325,729.93"
2022-07-22,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,344,981.75"
2022-07-23,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,364,233.58"
2022-07-24,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,383,485.40"
2022-07-25,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,402,737.23"
2022-07-26,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,421,989.05"
2022-07-27,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,441,240.88"
2022-07-28,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,460,492.70"
2022-07-29,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,479,744.53"
2022-07-30,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,498,996.35"
2022-07-31,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,518,248.18"
2022-08-01,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,537,500.00"
2022-08-02,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,556,751.82"
2022-08-03,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,576,003.65"
2022-08-04,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,595,255.47"
2022-08-05,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,614,507.30"
2022-08-06,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,633,759.12"
2022-08-07,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,653,010.95"
2022-08-08,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,672,262.77"
2022-08-09,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,691,514.60"
